property_id,full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,price_label,lat,long,img_url,zip_code
30786465,2204 FREDERICK ST LANCASTER TX 75134,5,2.5,2008,2947,12044,348658,Redfin Estimate,32.6183695,-96.7995798,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=2204+Frederick+St%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=g_U8mNZTn9rRuzZ3F4aED2U5aws='],75134
32056954,1212 LYLE ST LANCASTER TX      ,4,3.0,2022,2400,18356,97038,Redfin Estimate,32.6408318,-96.7921727,['https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=1212+Lyle+St%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=P3S6PPRixgIrZ1bsmofPj9i51iE='],     
31786491,4261 ELKINS AVE LANCASTER TX 75134,3,2.0,2006,2657,33136,427857,Redfin Estimate,32.6332069,-96.7869003,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=4261+Elkins+Ave%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=rrthK3PdIn5zNBJaUL1ndHR37rU='],75134
31798297,1512 LINDA LN LANCASTER TX 75134,4,2.0,1998,1960,522720,453481,Redfin Estimate,32.6104403,-96.7832392,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1512+Linda+Ln%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=T2iDV8B-tvyXVi505-3bLRNnzZA='],75134
34242886,802 N ELM ST LANCASTER TX 75146,3,1.0,1930,1036,19998,152325,Redfin Estimate,32.5990795,-96.7611722,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=802+N+Elm+St%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=seNXcBEsZI_N5NWOCE7i33-LDys='],75146
30755300,1242 LONG BRANCH DR LANCASTER TX 75146,3,2.0,2004,1808,7336,281044,Redfin Estimate,32.5944547,-96.7776537,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1242+Long+Branch+Dr%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=Vt7N1xd1fl5oH5OxGF2yeN1bE1w='],75146
31790009,584 REA AVE LANCASTER TX 75146,3,2.0,1968,1208,16980,221700,Redfin Estimate,32.6025721,-96.7660794,['https://ssl.cdn-redfin.com/photo/90/mbphoto/016/genMid.20136016_2.jpg'],75146
31776727,126 W 4TH ST LANCASTER TX 75146,2,1.0,1918,1036,8773,166828,Redfin Estimate,32.5951709,-96.7578262,['https://ssl.cdn-redfin.com/photo/90/mbphoto/372/genMid.10799372_2.jpg'],75146
31776484,711 WILSON ST LANCASTER TX 75146,2,1.0,1940,1000,11299,208494,Redfin Estimate,32.5982721,-96.7582026,['https://ssl.cdn-redfin.com/photo/90/mbphoto/413/genMid.13786413_0.jpg'],75146
31776361,219 N ELLIS ST LANCASTER TX 75146,3,2.5,2002,1847,12101,317157,Redfin Estimate,32.5935141,-96.7608376,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=219+N+Ellis+St%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=_D7U0tAd4gAhnHS54-ndJjCUpcE='],75146
31791398,1104 WESTRIDGE AVE LANCASTER TX 75146,3,2.0,1955,1552,16052,221393,Redfin Estimate,32.6022406,-96.7677811,['https://ssl.cdn-redfin.com/photo/90/mbphoto/085/genMid.13084085_0.jpg'],75146
31785841,1629 ENCHANTED LN LANCASTER TX 75146,4,3.0,1963,2134,36015,285768,Redfin Estimate,32.579398,-96.7902478,['https://ssl.cdn-redfin.com/photo/90/mbphoto/387/genMid.10783387_2.jpg'],75146
31785882,1207 LINKWOOD LN LANCASTER TX 75146,3,2.0,1970,1430,20639,223736,Redfin Estimate,32.5781955,-96.7945998,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1207+Linkwood+Ln%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=4DWkdREwWlF1YhbQ0Kt7XWvhfXY='],75146
31786452,4274 ELKINS AVE LANCASTER TX 75134,4,2.0,2022,2536,29708,433186,Redfin Estimate,32.6341506,-96.7869212,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=4274+Elkins+Ave%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=vbwmszrQPE4tKu3hZDHlMrAmOq4='],75134
31798300,1519 REBECCA LN LANCASTER TX 75134,3,2.0,2003,1485,6599,264411,Redfin Estimate,32.6107914,-96.7828417,['https://ssl.cdn-redfin.com/photo/90/mbphoto/535/genMid.14504535_1.jpg'],75134
31800094,4192 EDWARDS ST LANCASTER TX 75134,3,1.0,1958,1141,9300,210016,Redfin Estimate,32.6381012,-96.7833438,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=4192+Edwards+St%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=qobrqI2M2RtGE4vR_XXXpB0XOxw='],75134
31799778,1444 ALDRIDGE DR LANCASTER TX 75134,4,2.0,1989,1645,16122,290235,Redfin Estimate,32.6080344,-96.7964411,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1444+Aldridge+Dr%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=ATGlBsU8rKtxNfWKDWXcnlBHDiw='],75134
31776536,540 WILSON ST LANCASTER TX 75146,2,1.0,1945,1164,16501,201929,Redfin Estimate,32.5964131,-96.7576171,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=540+Wilson+St%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=hsc-wWOJzVxgqijSgIV-ifUdwjw='],75146
31776415,118 S ELLIS ST LANCASTER TX 75146,2,2.0,1930,836,11600,181629,Redfin Estimate,32.5914725,-96.7603775,['https://ssl.cdn-redfin.com/photo/90/mbphoto/731/genMid.20064731_0.jpg'],75146
